Year,Date,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location,Datetime,Day,Time,Month
2001,2001-11-11 08:00:00,3573390,HK659212,2001-11-11,082XX S ELLIS AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,CHA APARTMENT,False,False,631,6.0,8.0,44.0,06,1184287.0,1850666.0,2001,03/31/2006 10:03:38 PM,41.745397704,-87.600313566,"(41.745397704, -87.600313566)",2001-11-11 08:00:00,Sunday,08:00:00,11
2001,2001-11-01 12:00:00,2114134,HH351596,2001-11-01,026XX S CALIFORNIA BLVD,5000,OTHER OFFENSE,OTHER CRIME AGAINST PERSON,GOVERNMENT BUILDING/PROPERTY,True,False,1034,10.0,12.0,30.0,26,1158246.0,1886113.0,2001,08/17/2015 03:03:40 PM,41.843238229,-87.694767827,"(41.843238229, -87.694767827)",2001-11-01 12:00:00,Thursday,12:00:00,11
2001,2001-01-01 00:01:00,2686997,HJ308308,2001-01-01,068XX N SHERIDAN RD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,STREET,False,False,2431,24.0,49.0,1.0,06,1167006.0,1945513.0,2001,08/17/2015 03:03:40 PM,42.006051906,-87.66091132,"(42.006051906, -87.66091132)",2001-01-01 00:01:00,Monday,00:01:00,1
2001,2001-05-02 10:00:00,6023752,HP127286,2001-05-02,013XX S KEELER AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,True,1011,10.0,24.0,29.0,06,1148554.0,1893567.0,2001,02/01/2008 01:05:02 AM,41.863885184,-87.730143364,"(41.863885184, -87.730143364)",2001-05-02 10:00:00,Wednesday,10:00:00,5
2001,2001-11-25 12:00:00,5143762,HM741409,2001-11-25,0000X E 68TH ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,322,3.0,20.0,69.0,26,1178153.0,1859992.0,2001,12/05/2006 04:13:46 AM,41.77113049,-87.622507074,"(41.77113049, -87.622507074)",2001-11-25 12:00:00,Sunday,12:00:00,11
2001,2001-10-01 18:00:00,2797830,HJ450127,2001-10-01,034XX S DR MARTIN LUTHER KING JR DR,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,True,False,2122,2.0,4.0,35.0,06,1179518.0,1882037.0,2001,03/31/2006 10:03:38 PM,41.83159286,-87.616829907,"(41.83159286, -87.616829907)",2001-10-01 18:00:00,Monday,18:00:00,10
2001,2001-06-04 07:32:00,849,G321067,2001-06-04,012XX N KEELER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,2534,25.0,37.0,23.0,01A,1148155.0,1907867.0,2001,03/19/2019 04:11:22 PM,41.903133675,-87.731239785,"(41.903133675, -87.731239785)",2001-06-04 07:32:00,Monday,07:32:00,6
2001,2001-03-31 08:00:00,1568482,G329734,2001-03-31,016XX E 71ST ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,False,False,332,3.0,5.0,43.0,11,1188679.0,1858311.0,2001,08/17/2015 03:03:40 PM,41.766272479,-87.583976745,"(41.766272479, -87.583976745)",2001-03-31 08:00:00,Saturday,08:00:00,3
2001,2001-05-15 22:01:00,2139606,G280981,2001-05-15,039XX W MADISON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,1122,11.0,28.0,26.0,03,1150353.0,1899767.0,2001,08/17/2015 03:03:40 PM,41.880863814,-87.723377532,"(41.880863814, -87.723377532)",2001-05-15 22:01:00,Tuesday,22:01:00,5
2001,2001-10-22 23:24:51,2297815,G636652,2001-10-22,003XX S KILDARE AVE,0460,BATTERY,SIMPLE,STREET,False,False,1132,11.0,24.0,26.0,08B,1147830.0,1897718.0,2001,08/17/2015 03:03:40 PM,41.875289953,-87.732694535,"(41.875289953, -87.732694535)",2001-10-22 23:24:51,Monday,23:24:51,10
2001,2001-07-26 18:00:00,1656837,G444793,2001-07-26,009XX W 64TH ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,723,7.0,16.0,68.0,07,1171090.0,1862433.0,2001,08/17/2015 03:03:40 PM,41.777986158,-87.648326137,"(41.777986158, -87.648326137)",2001-07-26 18:00:00,Thursday,18:00:00,7
2001,2001-11-01 12:00:00,5041788,HM646587,2001-11-01,053XX S GREENWOOD AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,2131,2.0,5.0,41.0,06,1184245.0,1869944.0,2001,10/14/2006 06:13:36 AM,41.798299302,-87.599865042,"(41.798299302, -87.599865042)",2001-11-01 12:00:00,Thursday,12:00:00,11
2001,2001-09-28 12:25:00,1107,G581819,2001-09-28,041XX W KINZIE ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1114,11.0,28.0,26.0,01A,1148800.0,1902265.0,2001,03/19/2019 04:11:22 PM,41.887748749,-87.729015487,"(41.887748749, -87.729015487)",2001-09-28 12:25:00,Friday,12:25:00,9
2001,2001-05-01 12:00:00,2231554,HH500404,2001-05-01,035XX N CLARK ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,1923,19.0,44.0,6.0,06,1168585.0,1923647.0,2001,08/17/2015 03:03:40 PM,41.946016826,-87.655738366,"(41.946016826, -87.655738366)",2001-05-01 12:00:00,Tuesday,12:00:00,5
2001,2001-07-02 12:00:00,2215209,HH482113,2001-07-02,052XX W ALTGELD ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2515,25.0,31.0,19.0,26,1140748.0,1916086.0,2001,08/17/2015 03:03:40 PM,41.925826957,-87.758245092,"(41.925826957, -87.758245092)",2001-07-02 12:00:00,Monday,12:00:00,7
2001,2001-12-18 20:00:00,1901143,G757295,2001-12-18,029XX N NEVA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2511,25.0,36.0,18.0,07,1127868.0,1918761.0,2001,08/17/2015 03:03:40 PM,41.933394783,-87.805513107,"(41.933394783, -87.805513107)",2001-12-18 20:00:00,Tuesday,20:00:00,12
2001,2001-05-25 14:00:00,2151622,HH401058,2001-05-25,0000X E GRAND AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),False,False,1834,18.0,42.0,8.0,06,1176386.0,1903948.0,2001,08/17/2015 03:03:40 PM,41.891789206,-87.627660621,"(41.891789206, -87.627660621)",2001-05-25 14:00:00,Friday,14:00:00,5
2001,2001-12-01 10:00:00,2110283,HH345029,2001-12-01,083XX S PAULINA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,614,6.0,18.0,71.0,06,1166428.0,1849153.0,2001,08/17/2015 03:03:40 PM,41.741644658,-87.665794976,"(41.741644658, -87.665794976)",2001-12-01 10:00:00,Saturday,10:00:00,12
2001,2001-04-22 18:35:00,785,G229353,2001-04-22,013XX N KILDARE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,False,False,2534,25.0,37.0,23.0,01A,1147469.0,1908443.0,2001,03/19/2019 04:11:22 PM,41.904727464,-87.733744836,"(41.904727464, -87.733744836)",2001-04-22 18:35:00,Sunday,18:35:00,4
2001,2001-05-17 03:00:00,1533135,G283966,2001-05-17,055XX W VAN BUREN ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1522,15.0,29.0,25.0,07,1139248.0,1897416.0,2001,08/17/2015 03:03:40 PM,41.874621702,-87.764212035,"(41.874621702, -87.764212035)",2001-05-17 03:00:00,Thursday,03:00:00,5
2001,2001-11-28 05:31:00,1869930,G713531,2001-11-28,073XX S EXCHANGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,False,False,334,3.0,7.0,43.0,14,1194411.0,1857014.0,2001,08/17/2015 03:03:40 PM,41.762574461,-87.563009859,"(41.762574461, -87.563009859)",2001-11-28 05:31:00,Wednesday,05:31:00,11
2001,2001-05-01 12:00:00,2742371,HJ379453,2001-05-01,087XX S LUELLA AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,412,4.0,8.0,48.0,06,1192647.0,1847428.0,2001,08/17/2015 03:03:40 PM,41.736312837,-87.569786846,"(41.736312837, -87.569786846)",2001-05-01 12:00:00,Tuesday,12:00:00,5
2001,2001-10-01 22:00:00,6402718,HP486396,2001-10-01,024XX S ST LOUIS AVE,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,RESIDENCE,False,True,1024,10.0,22.0,30.0,17,1153464.0,1887494.0,2001,08/23/2008 01:04:39 AM,41.847124086,-87.712280114,"(41.847124086, -87.712280114)",2001-10-01 22:00:00,Monday,22:00:00,10
2001,2001-11-11 00:00:00,2537727,HJ116604,2001-11-11,006XX E WOODLAND PARK,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,2122,2.0,4.0,35.0,06,1181509.0,1882201.0,2001,08/17/2015 03:03:40 PM,41.831997086,-87.609519753,"(41.831997086, -87.609519753)",2001-11-11 00:00:00,Sunday,00:00:00,11
2001,2001-10-26 14:00:00,6188685,HP272254,2001-10-26,026XX W MEDILL AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,False,False,1431,14.0,1.0,22.0,11,1157968.0,1915538.0,2001,04/22/2008 01:04:52 AM,41.923988854,-87.694984798,"(41.923988854, -87.694984798)",2001-10-26 14:00:00,Friday,14:00:00,10
2001,2001-11-17 19:00:00,2563038,HJ149818,2001-11-17,048XX W NORTH AVE,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",APPLIANCE STORE,False,False,2533,25.0,37.0,25.0,11,1143519.0,1910150.0,2001,08/17/2015 03:03:40 PM,41.909486504,-87.748211734,"(41.909486504, -87.748211734)",2001-11-17 19:00:00,Saturday,19:00:00,11
2001,2001-05-06 23:00:00,810,G261105,2001-05-06,022XX S BLUE ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,1034,10.0,25.0,31.0,01A,1164923.0,1888875.0,2001,03/19/2019 04:11:22 PM,41.850678584,-87.670186515,"(41.850678584, -87.670186515)",2001-05-06 23:00:00,Sunday,23:00:00,5
2001,2001-02-09 03:49:00,680,G081524,2001-02-09,012XX N ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,1423,14.0,26.0,24.0,01A,1158839.0,1908318.0,2001,03/18/2019 04:08:09 PM,41.904158779,-87.691982774,"(41.904158779, -87.691982774)",2001-02-09 03:49:00,Friday,03:49:00,2
2001,2001-01-01 09:00:00,5250640,HN128586,2001-01-01,003XX W 56TH PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,711,7.0,3.0,68.0,06,1174812.0,1867558.0,2001,02/01/2007 06:57:55 AM,41.791967537,-87.634528523,"(41.791967537, -87.634528523)",2001-01-01 09:00:00,Monday,09:00:00,1
2001,2001-12-16 16:00:00,1897572,G752294,2001-12-16,132XX S LANGLEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),False,False,533,5.0,9.0,54.0,07,1183292.0,1817801.0,2001,03/31/2006 10:03:38 PM,41.655235089,-87.604977794,"(41.655235089, -87.604977794)",2001-12-16 16:00:00,Sunday,16:00:00,12
2001,2001-11-20 11:40:00,2763687,HJ404627,2001-11-20,072XX S KIMBARK AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,324,3.0,5.0,43.0,06,1186170.0,1857244.0,2001,08/17/2015 03:03:40 PM,41.763404147,-87.593206663,"(41.763404147, -87.593206663)",2001-11-20 11:40:00,Tuesday,11:40:00,11
2001,2001-07-13 18:17:12,2281222,G410336,2001-07-13,011XX S CENTRAL PARK AVE,0460,BATTERY,SIMPLE,STREET,False,False,1133,11.0,24.0,29.0,08B,1152583.0,1894973.0,2001,08/17/2015 03:03:40 PM,41.867664774,-87.715315833,"(41.867664774, -87.715315833)",2001-07-13 18:17:12,Friday,18:17:12,7
2001,2001-10-01 00:01:00,4509898,HL804649,2001-10-01,0000X E 126TH ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,False,False,532,5.0,9.0,53.0,02,1178783.0,1821086.0,2001,03/31/2006 10:03:38 PM,41.664353018,-87.621377078,"(41.664353018, -87.621377078)",2001-10-01 00:01:00,Monday,00:01:00,10
2001,2001-11-01 09:00:00,2689199,HJ301751,2001-11-01,001XX W 123RD ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,True,523,5.0,9.0,53.0,06,1177489.0,1823347.0,2001,08/17/2015 03:03:40 PM,41.670586796,-87.626044632,"(41.670586796, -87.626044632)",2001-11-01 09:00:00,Thursday,09:00:00,11
2001,2001-01-01 09:00:00,6730079,HR139561,2001-01-01,012XX N HARDING AVE,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,RESIDENCE,False,False,2535,25.0,27.0,23.0,06,1149780.0,1908097.0,2001,02/06/2009 01:04:29 AM,41.903733366,-87.725264796,"(41.903733366, -87.725264796)",2001-01-01 09:00:00,Monday,09:00:00,1
2001,2001-11-21 22:00:00,1862295,G705595,2001-11-21,049XX W NELSON ST,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,False,False,2521,25.0,31.0,19.0,07,1143085.0,1919869.0,2001,03/31/2006 10:03:38 PM,41.936164551,-87.749563023,"(41.936164551, -87.749563023)",2001-11-21 22:00:00,Wednesday,22:00:00,11
2001,2001-08-01 12:00:00,4989983,HM600469,2001-08-01,052XX S MAJOR AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,811,8.0,23.0,56.0,06,1139286.0,1869445.0,2001,10/09/2006 10:38:19 AM,41.797864355,-87.764752309,"(41.797864355, -87.764752309)",2001-08-01 12:00:00,Wednesday,12:00:00,8
2001,2001-10-20 12:30:00,4397032,HL684890,2001-10-20,103XX S INDIANA AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,512,5.0,9.0,49.0,06,1179447.0,1836480.0,2001,03/31/2006 10:03:38 PM,41.706581312,-87.618479678,"(41.706581312, -87.618479678)",2001-10-20 12:30:00,Saturday,12:30:00,10
2001,2001-09-05 14:00:00,2100578,HH332202,2001-09-05,114XX S CHAMPLAIN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,False,False,531,5.0,9.0,50.0,11,1182578.0,1829326.0,2001,08/17/2015 03:03:40 PM,41.68687789,-87.607235009,"(41.68687789, -87.607235009)",2001-09-05 14:00:00,Wednesday,14:00:00,9
2001,2001-11-14 23:30:00,1847459,G687072,2001-11-14,045XX N WHIPPLE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,1724,17.0,33.0,14.0,07,1155192.0,1929921.0,2001,08/17/2015 03:03:40 PM,41.963513066,-87.704797435,"(41.963513066, -87.704797435)",2001-11-14 23:30:00,Wednesday,23:30:00,11
2001,2001-01-19 00:00:00,2603068,HJ201956,2001-01-19,079XX S LOOMIS BLVD,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,612,6.0,21.0,71.0,06,1168342.0,1851904.0,2001,08/17/2015 03:03:40 PM,41.74915283,-87.65870312,"(41.74915283, -87.65870312)",2001-01-19 00:00:00,Friday,00:00:00,1
2001,2001-05-09 12:00:00,3981483,HL345038,2001-05-09,058XX N SHERIDAN RD,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,SMALL RETAIL STORE,False,False,2022,20.0,48.0,77.0,11,1168618.0,1938903.0,2001,03/31/2006 10:03:38 PM,41.987879058,-87.655173219,"(41.987879058, -87.655173219)",2001-05-09 12:00:00,Wednesday,12:00:00,5
2001,2001-09-22 07:00:00,1756657,G568369,2001-09-22,081XX S SOUTH SHORE DR,0265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,RESIDENCE,True,False,422,4.0,7.0,46.0,02,1198611.0,1851359.0,2001,08/17/2015 03:03:40 PM,41.746952518,-87.547805815,"(41.746952518, -87.547805815)",2001-09-22 07:00:00,Saturday,07:00:00,9
2001,2001-02-23 17:00:00,2342049,G108915,2001-02-23,055XX N KENMORE AVE,0460,BATTERY,SIMPLE,NURSING HOME/RETIREMENT HOME,False,False,2023,20.0,48.0,77.0,08B,1168282.0,1937214.0,2001,08/17/2015 03:03:40 PM,41.983251697,-87.656458139,"(41.983251697, -87.656458139)",2001-02-23 17:00:00,Friday,17:00:00,2
2001,2001-12-12 08:30:00,2401858,HH715031,2001-12-12,063XX S STEWART AVE,0842,THEFT,AGG: FINANCIAL ID THEFT,APARTMENT,False,False,722,7.0,20.0,68.0,06,1174759.0,1862675.0,2001,08/17/2015 03:03:40 PM,41.778569245,-87.634868315,"(41.778569245, -87.634868315)",2001-12-12 08:30:00,Wednesday,08:30:00,12
2001,2001-05-09 12:43:00,817,G266841,2001-05-09,073XX S CARPENTER ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,True,False,733,7.0,17.0,68.0,01A,1170586.0,1856076.0,2001,03/19/2019 04:11:22 PM,41.760552767,-87.650358873,"(41.760552767, -87.650358873)",2001-05-09 12:43:00,Wednesday,12:43:00,5
2001,2001-01-28 00:00:00,2564907,HJ152389,2001-01-28,051XX W MONTANA ST,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,True,False,2521,25.0,31.0,19.0,06,1141806.0,1915781.0,2001,08/17/2015 03:03:40 PM,41.924970468,-87.754364983,"(41.924970468, -87.754364983)",2001-01-28 00:00:00,Sunday,00:00:00,1
2001,2001-08-08 07:00:00,2217140,HH070558,2001-08-08,033XX S WESTERN BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,913,9.0,12.0,59.0,14,1161123.0,1882214.0,2001,08/17/2015 03:03:40 PM,41.832479762,-87.684317997,"(41.832479762, -87.684317997)",2001-08-08 07:00:00,Wednesday,07:00:00,8
2001,2001-08-01 09:00:00,2899986,HJ574773,2001-08-01,024XX N MONTICELLO AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2524,25.0,35.0,22.0,26,1151593.0,1916146.0,2001,03/31/2006 10:03:38 PM,41.925785095,-87.718393184,"(41.925785095, -87.718393184)",2001-08-01 09:00:00,Wednesday,09:00:00,8
2001,2001-08-23 20:00:00,1706067,G504837,2001-08-23,024XX N LOTUS AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2515,25.0,30.0,19.0,07,1139669.0,1916034.0,2001,08/17/2015 03:03:40 PM,41.925704053,-87.762211209,"(41.925704053, -87.762211209)",2001-08-23 20:00:00,Thursday,20:00:00,8
2001,2001-01-01 08:00:00,2921618,HJ603257,2001-01-01,023XX N BOSWORTH AVE,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,RESIDENCE,False,True,1811,18.0,32.0,7.0,02,1165546.0,1915913.0,2001,03/31/2006 10:03:38 PM,41.924859699,-87.667129563,"(41.924859699, -87.667129563)",2001-01-01 08:00:00,Monday,08:00:00,1
2001,2001-10-01 12:00:00,4650898,HM249859,2001-10-01,010XX W VERNON PARK PL,0840,THEFT,FINANCIAL ID THEFT: OVER $300,APARTMENT,False,False,1213,12.0,25.0,28.0,06,1169751.0,1897025.0,2001,03/31/2006 10:03:38 PM,41.872939161,-87.652229591,"(41.872939161, -87.652229591)",2001-10-01 12:00:00,Monday,12:00:00,10
2001,2001-12-14 11:00:00,4718763,HM323279,2001-12-14,120XX S UNION AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,523,5.0,34.0,53.0,06,1173778.0,1825104.0,2001,05/08/2006 03:22:32 AM,41.675491071,-87.639574805,"(41.675491071, -87.639574805)",2001-12-14 11:00:00,Friday,11:00:00,12
2001,2001-07-12 17:59:00,2281213,G408089,2001-07-12,011XX N LAWNDALE AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,False,False,1112,11.0,27.0,23.0,04B,1151453.0,1907586.0,2001,08/17/2015 03:03:40 PM,41.902298426,-87.719132868,"(41.902298426, -87.719132868)",2001-07-12 17:59:00,Thursday,17:59:00,7
2001,2001-12-25 08:00:00,2511698,HH855874,2001-12-25,106XX S CHURCH ST,0841,THEFT,FINANCIAL ID THEFT:$300 &UNDER,APARTMENT,False,False,2212,22.0,19.0,72.0,06,1168036.0,1834212.0,2001,08/17/2015 03:03:40 PM,41.7006099,-87.660331271,"(41.7006099, -87.660331271)",2001-12-25 08:00:00,Tuesday,08:00:00,12
2001,2001-01-01 00:01:00,4568458,HM155414,2001-01-01,083XX S VINCENNES AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,RESIDENCE,False,False,622,6.0,21.0,71.0,06,1174572.0,1850060.0,2001,03/31/2006 10:03:38 PM,41.74395635,-87.635928806,"(41.74395635, -87.635928806)",2001-01-01 00:01:00,Monday,00:01:00,1
2001,2001-12-16 04:20:00,1276,G751124,2001-12-16,061XX S FRANCISCO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,True,False,823,8.0,15.0,66.0,01A,1158097.0,1863894.0,2001,03/19/2019 04:11:22 PM,41.782269493,-87.695919424,"(41.782269493, -87.695919424)",2001-12-16 04:20:00,Sunday,04:20:00,12
2001,2001-10-08 15:16:00,1137,G601279,2001-10-08,076XX S SOUTH CHICAGO AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,False,False,411,4.0,5.0,43.0,01A,1186365.0,1854740.0,2001,03/19/2019 04:11:22 PM,41.75652833,-87.592570988,"(41.75652833, -87.592570988)",2001-10-08 15:16:00,Monday,15:16:00,10
2001,2001-07-13 22:56:00,936,G410898,2001-07-13,056XX S WELLS ST,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,True,False,711,7.0,3.0,68.0,01A,1175567.0,1867471.0,2001,03/19/2019 04:11:22 PM,41.791711926,-87.631762686,"(41.791711926, -87.631762686)",2001-07-13 22:56:00,Friday,22:56:00,7
2001,2001-10-12 23:00:00,2263574,HH539376,2001-10-12,038XX W POLK ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,True,False,1133,11.0,24.0,26.0,02,1150698.0,1896126.0,2001,06/02/2010 10:34:17 AM,41.870865769,-87.722205902,"(41.870865769, -87.722205902)",2001-10-12 23:00:00,Friday,23:00:00,10
2001,2001-04-03 14:04:00,3842452,HL213620,2001-04-03,018XX W LAWRENCE AVE,1120,DECEPTIVE PRACTICE,FORGERY,BANK,False,False,1922,19.0,47.0,4.0,10,1163099.0,1931867.0,2001,03/31/2006 10:03:38 PM,41.968690134,-87.675671112,"(41.968690134, -87.675671112)",2001-04-03 14:04:00,Tuesday,14:04:00,4
2001,2001-07-09 21:45:00,1623032,G401879,2001-07-09,008XX E 52ND ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,False,False,2124,2.0,4.0,41.0,07,1182500.0,1870747.0,2001,08/17/2015 03:03:40 PM,41.800543481,-87.606239305,"(41.800543481, -87.606239305)",2001-07-09 21:45:00,Monday,21:45:00,7
